,Estados Unidos Mexicanos,Entidad federativa,Edad desplegada,Población de 6 a 14 años:Total,Población de 6 a 14 años:Hombres,Población de 6 a 14 años:Mujeres,Sabe leer y escribir :Total,Sabe leer y escribir :Hombres,Sabe leer y escribir :Mujeres,No sabe leer y escribir :Total,No sabe leer y escribir :Hombres,No sabe leer y escribir :Mujeres,No especificado :Total,No especificado :Hombres,No especificado :Mujeres
164,Estados Unidos Mexicanos,16 Michoacán,6 años,97883,49249,48634,29403,14519,14884,67722,34346,33376,758,384,374
165,Estados Unidos Mexicanos,16 Michoacán,7 años,96608,49249,47359,65692,32660,33032,30661,16460,14201,255,129,126
166,Estados Unidos Mexicanos,16 Michoacán,8 años,106962,54148,52814,87380,43379,44001,19375,10665,8710,207,104,103
167,Estados Unidos Mexicanos,16 Michoacán,9 años,98171,49537,48634,87425,43497,43928,10535,5933,4602,211,107,104
168,Estados Unidos Mexicanos,16 Michoacán,10 años,107408,55065,52343,98594,50062,48532,8634,4901,3733,180,102,78
169,Estados Unidos Mexicanos,16 Michoacán,11 años,92096,46415,45681,86839,43318,43521,5119,3023,2096,138,74,64
170,Estados Unidos Mexicanos,16 Michoacán,12 años,105595,54006,51589,99922,50742,49180,5533,3199,2334,140,65,75
171,Estados Unidos Mexicanos,16 Michoacán,13 años,97871,48862,49009,92813,45995,46818,4914,2799,2115,144,68,76
172,Estados Unidos Mexicanos,16 Michoacán,14 años,98520,49216,49304,92999,46049,46950,5374,3104,2270,147,63,84
173,Estados Unidos Mexicanos,17 Morelos,Total,299124,151753,147371,264676,133834,130842,33974,17677,16297,474,242,232
174,Estados Unidos Mexicanos,17 Morelos,6 años,32308,16400,15908,11775,5883,5892,20420,10454,9966,113,63,50
175,Estados Unidos Mexicanos,17 Morelos,7 años,31859,16262,15597,25758,13064,12694,6049,3174,2875,52,24,28
176,Estados Unidos Mexicanos,17 Morelos,8 años,34928,17610,17318,32616,16407,16209,2255,1174,1081,57,29,28
177,Estados Unidos Mexicanos,17 Morelos,9 años,33144,16973,16171,31880,16287,15593,1206,657,549,58,29,29
178,Estados Unidos Mexicanos,17 Morelos,10 años,35341,18158,17183,34325,17628,16697,967,509,458,49,21,28
179,Estados Unidos Mexicanos,17 Morelos,11 años,31743,15973,15770,31068,15597,15471,641,358,283,34,18,16
180,Estados Unidos Mexicanos,17 Morelos,12 años,34824,17724,17100,34005,17280,16725,781,423,358,38,21,17
181,Estados Unidos Mexicanos,17 Morelos,13 años,32387,16337,16050,31566,15892,15674,780,427,353,41,18,23
182,Estados Unidos Mexicanos,17 Morelos,14 años,32590,16316,16274,31683,15796,15887,875,501,374,32,19,13
183,Estados Unidos Mexicanos,18 Nayarit,Total,199652,101764,97888,176674,89399,87275,22855,12304,10551,123,61,62
184,Estados Unidos Mexicanos,18 Nayarit,6 años,21926,11063,10863,8812,4364,4448,13085,6684,6401,29,15,14
185,Estados Unidos Mexicanos,18 Nayarit,7 años,22180,11352,10828,18239,9147,9092,3922,2196,1726,19,9,10
186,Estados Unidos Mexicanos,18 Nayarit,8 años,22743,11716,11027,20873,10628,10245,1858,1083,775,12,5,7
187,Estados Unidos Mexicanos,18 Nayarit,9 años,22013,11159,10854,20922,10521,10401,1070,628,442,21,10,11
188,Estados Unidos Mexicanos,18 Nayarit,10 años,23040,11782,11258,22272,11339,10933,761,441,320,7,2,5
189,Estados Unidos Mexicanos,18 Nayarit,11 años,21745,11079,10666,21233,10764,10469,506,314,192,6,1,5
190,Estados Unidos Mexicanos,18 Nayarit,12 años,23176,11974,11202,22596,11616,10980,570,352,218,10,6,4
191,Estados Unidos Mexicanos,18 Nayarit,13 años,21367,10725,10642,20859,10433,10426,498,286,212,10,6,4
192,Estados Unidos Mexicanos,18 Nayarit,14 años,21462,10914,10548,20868,10587,10281,585,320,265,9,7,2
193,Estados Unidos Mexicanos,19 Nuevo León,Total,646137,328767,317370,601712,305133,296579,43236,23010,20226,1189,624,565
194,Estados Unidos Mexicanos,19 Nuevo León,6 años,73445,37151,36294,41779,20796,20983,31288,16159,15129,378,196,182
195,Estados Unidos Mexicanos,19 Nuevo León,7 años,71242,36312,34930,66063,33445,32618,5040,2800,2240,139,67,72
196,Estados Unidos Mexicanos,19 Nuevo León,8 años,71535,36646,34889,69480,35453,34027,1954,1143,811,101,50,51
197,Estados Unidos Mexicanos,19 Nuevo León,9 años,68964,35166,33798,67788,34514,33274,1056,587,469,120,65,55
198,Estados Unidos Mexicanos,19 Nuevo León,10 años,72419,37039,35380,71420,36439,34981,906,548,358,93,52,41
199,Estados Unidos Mexicanos,19 Nuevo León,11 años,67250,34380,32870,66516,33934,32582,653,396,257,81,50,31
200,Estados Unidos Mexicanos,19 Nuevo León,12 años,75129,38416,36713,74271,37909,36362,765,458,307,93,49,44
201,Estados Unidos Mexicanos,19 Nuevo León,13 años,73962,37290,36672,73086,36785,36301,775,450,325,101,55,46
202,Estados Unidos Mexicanos,19 Nuevo León,14 años,72191,36367,35824,71309,35858,35451,799,469,330,83,40,43
203,Estados Unidos Mexicanos,20 Oaxaca,Total,782832,396950,385882,640614,324662,315952,140694,71503,69191,1524,785,739
204,Estados Unidos Mexicanos,20 Oaxaca,6 años,85091,42724,42367,26238,12928,13310,58404,29583,28821,449,213,236
205,Estados Unidos Mexicanos,20 Oaxaca,7 años,82804,42290,40514,55234,28014,27220,27373,14171,13202,197,105,92
206,Estados Unidos Mexicanos,20 Oaxaca,8 años,95617,48270,47347,77165,38835,38330,18292,9344,8948,160,91,69
207,Estados Unidos Mexicanos,20 Oaxaca,9 años,85038,42767,42271,75151,37697,37454,9709,4978,4731,178,92,86
208,Estados Unidos Mexicanos,20 Oaxaca,10 años,97116,49753,47363,88723,45324,43399,8270,4363,3907,123,66,57
209,Estados Unidos Mexicanos,20 Oaxaca,11 años,77423,39356,38067,73003,37071,35932,4315,2233,2082,105,52,53
210,Estados Unidos Mexicanos,20 Oaxaca,12 años,93076,47900,45176,87655,45183,42472,5313,2653,2660,108,64,44
211,Estados Unidos Mexicanos,20 Oaxaca,13 años,83454,41750,41704,78875,39653,39222,4477,2042,2435,102,55,47
212,Estados Unidos Mexicanos,20 Oaxaca,14 años,83213,42140,41073,78570,39957,38613,4541,2136,2405,102,47,55
213,Estados Unidos Mexicanos,21 Puebla,Total,1066369,538832,527537,895977,452148,443829,168780,85884,82896,1612,800,812
214,Estados Unidos Mexicanos,21 Puebla,6 años,117287,59059,58228,42890,21487,21403,74012,37369,36643,385,203,182
215,Estados Unidos Mexicanos,21 Puebla,7 años,112887,57802,55085,81230,41215,40015,31443,16485,14958,214,102,112
216,Estados Unidos Mexicanos,21 Puebla,8 años,128205,64544,63661,108725,54464,54261,19294,9994,9300,186,86,100
217,Estados Unidos Mexicanos,21 Puebla,9 años,116346,58402,57944,105474,52842,52632,10700,5472,5228,172,88,84
218,Estados Unidos Mexicanos,21 Puebla,10 años,128453,65725,62728,119345,61058,58287,8956,4591,4365,152,76,76
219,Estados Unidos Mexicanos,21 Puebla,11 años,107866,54816,53050,102363,52039,50324,5384,2708,2676,119,69,50
220,Estados Unidos Mexicanos,21 Puebla,12 años,125713,63938,61775,118908,60540,58368,6658,3329,3329,147,69,78
221,Estados Unidos Mexicanos,21 Puebla,13 años,114697,57421,57276,108731,54544,54187,5839,2816,3023,127,61,66
222,Estados Unidos Mexicanos,21 Puebla,14 años,114915,57125,57790,108311,53959,54352,6494,3120,3374,110,46,64
223,Estados Unidos Mexicanos,22 Querétaro,Total,282932,142931,140001,246883,124442,122441,35371,18147,17224,678,342,336
224,Estados Unidos Mexicanos,22 Querétaro,6 años,31502,15740,15762,11673,5882,5791,19557,9729,9828,272,129,143
225,Estados Unidos Mexicanos,22 Querétaro,7 años,30555,15493,15062,24291,12163,12128,6202,3302,2900,62,28,34
226,Estados Unidos Mexicanos,22 Querétaro,8 años,33524,16938,16586,30149,15122,15027,3319,1780,1539,56,36,20
227,Estados Unidos Mexicanos,22 Querétaro,9 años,31380,15917,15463,29606,14968,14638,1694,902,792,80,47,33
228,Estados Unidos Mexicanos,22 Querétaro,10 años,33307,17070,16237,32021,16370,15651,1243,681,562,43,19,24
229,Estados Unidos Mexicanos,22 Querétaro,11 años,29114,14862,14252,28271,14385,13886,801,460,341,42,17,25
230,Estados Unidos Mexicanos,22 Querétaro,12 años,32305,16474,15831,31401,16003,15398,858,442,416,46,29,17
231,Estados Unidos Mexicanos,22 Querétaro,13 años,30671,15330,15341,29791,14905,14886,840,405,435,40,20,20
232,Estados Unidos Mexicanos,22 Querétaro,14 años,30574,15107,15467,29680,14644,15036,857,446,411,37,17,20
233,Estados Unidos Mexicanos,23 Quintana Roo,Total,146446,74509,71937,122616,62242,60374,23561,12130,11431,269,137,132
234,Estados Unidos Mexicanos,23 Quintana Roo,6 años,17995,9043,8952,5121,2553,2568,12813,6455,6358,61,35,26
235,Estados Unidos Mexicanos,23 Quintana Roo,7 años,17232,8843,8389,12253,6249,6004,4938,2576,2362,41,18,23
236,Estados Unidos Mexicanos,23 Quintana Roo,8 años,17555,8915,8640,15256,7704,7552,2276,1195,1081,23,16,7
237,Estados Unidos Mexicanos,23 Quintana Roo,9 años,16118,8158,7960,14977,7522,7455,1101,617,484,40,19,21
238,Estados Unidos Mexicanos,23 Quintana Roo,10 años,16778,8603,8175,16013,8188,7825,744,405,339,21,10,11
239,Estados Unidos Mexicanos,23 Quintana Roo,11 años,15202,7715,7487,14752,7464,7288,430,240,190,20,11,9
240,Estados Unidos Mexicanos,23 Quintana Roo,12 años,15966,8271,7695,15478,8020,7458,465,243,222,23,8,15
241,Estados Unidos Mexicanos,23 Quintana Roo,13 años,15024,7658,7366,14633,7455,7178,366,190,176,25,13,12
242,Estados Unidos Mexicanos,23 Quintana Roo,14 años,14576,7303,7273,14133,7087,7046,428,209,219,15,7,8
243,Estados Unidos Mexicanos,24 San Luis Potosí,Total,499326,253168,246158,422960,212986,209974,75811,39887,35924,555,295,260
244,Estados Unidos Mexicanos,24 San Luis Potosí,6 años,53906,27184,26722,13739,6823,6916,39975,20270,19705,192,91,101
245,Estados Unidos Mexicanos,24 San Luis Potosí,7 años,53561,27384,26177,37232,18649,18583,16273,8703,7570,56,32,24
246,Estados Unidos Mexicanos,24 San Luis Potosí,8 años,58281,29464,28817,51044,25499,25545,7173,3934,3239,64,31,33
247,Estados Unidos Mexicanos,24 San Luis Potosí,9 años,56000,28436,27564,52191,26317,25874,3747,2079,1668,62,40,22
248,Estados Unidos Mexicanos,24 San Luis Potosí,10 años,58357,29920,28437,55755,28423,27332,2561,1471,1090,41,26,15
249,Estados Unidos Mexicanos,24 San Luis Potosí,11 años,52258,26542,25716,50753,25688,25065,1473,832,641,32,22,10
250,Estados Unidos Mexicanos,24 San Luis Potosí,12 años,58241,29791,28450,56646,28868,27778,1558,909,649,37,14,23
251,Estados Unidos Mexicanos,24 San Luis Potosí,13 años,55620,27931,27689,54120,27103,27017,1460,806,654,40,22,18
252,Estados Unidos Mexicanos,24 San Luis Potosí,14 años,53102,26516,26586,51480,25616,25864,1591,883,708,31,17,14
253,Estados Unidos Mexicanos,25 Sinaloa,Total,509320,258641,250679,449335,226201,223134,58635,31728,26907,1350,712,638
254,Estados Unidos Mexicanos,25 Sinaloa,6 años,56225,28552,27673,20540,10219,10321,35188,18083,17105,497,250,247
255,Estados Unidos Mexicanos,25 Sinaloa,7 años,55841,28388,27453,47322,23675,23647,8374,4636,3738,145,77,68
256,Estados Unidos Mexicanos,25 Sinaloa,8 años,58648,29899,28749,54404,27451,26953,4119,2381,1738,125,67,58
257,Estados Unidos Mexicanos,25 Sinaloa,9 años,55638,28179,27459,53201,26752,26449,2281,1340,941,156,87,69
258,Estados Unidos Mexicanos,25 Sinaloa,10 años,59065,30123,28942,56868,28828,28040,2106,1241,865,91,54,37
259,Estados Unidos Mexicanos,25 Sinaloa,11 años,53057,26794,26263,51532,25868,25664,1456,893,563,69,33,36
260,Estados Unidos Mexicanos,25 Sinaloa,12 años,58155,30003,28152,56346,28887,27459,1719,1061,658,90,55,35
261,Estados Unidos Mexicanos,25 Sinaloa,13 años,55451,28002,27449,53801,27006,26795,1570,956,614,80,40,40
262,Estados Unidos Mexicanos,25 Sinaloa,14 años,57240,28701,28539,55321,27515,27806,1822,1137,685,97,49,48
263,Estados Unidos Mexicanos,26 Sonora,Total,409807,207835,201972,356833,179631,177202,51340,27337,24003,1634,867,767
264,Estados Unidos Mexicanos,26 Sonora,6 años,46639,23708,22931,11695,5707,5988,34114,17565,16549,830,436,394
265,Estados Unidos Mexicanos,26 Sonora,7 años,45085,22949,22136,35841,17856,17985,9052,4986,4066,192,107,85
266,Estados Unidos Mexicanos,26 Sonora,8 años,47095,24142,22953,44002,22401,21601,2980,1682,1298,113,59,54
267,Estados Unidos Mexicanos,26 Sonora,9 años,45815,23004,22811,44245,22114,22131,1449,823,626,121,67,54
268,Estados Unidos Mexicanos,26 Sonora,10 años,47560,24323,23237,46560,23727,22833,914,548,366,86,48,38
269,Estados Unidos Mexicanos,26 Sonora,11 años,42450,21465,20985,41677,21014,20663,697,412,285,76,39,37
270,Estados Unidos Mexicanos,26 Sonora,12 años,46180,23610,22570,45405,23125,22280,719,454,265,56,31,25
271,Estados Unidos Mexicanos,26 Sonora,13 años,44681,22317,22364,43903,21862,22041,703,414,289,75,41,34
272,Estados Unidos Mexicanos,26 Sonora,14 años,44302,22317,21985,43505,21825,21680,712,453,259,85,39,46
273,Estados Unidos Mexicanos,27 Tabasco,Total,405557,204794,200763,328745,164593,164152,76354,39957,36397,458,244,214
274,Estados Unidos Mexicanos,27 Tabasco,6 años,43331,21744,21587,8343,4076,4267,34889,17603,17286,99,65,34
275,Estados Unidos Mexicanos,27 Tabasco,7 años,43556,22272,21284,25494,12724,12770,18028,9527,8501,34,21,13
276,Estados Unidos Mexicanos,27 Tabasco,8 años,47701,24064,23637,38304,19031,19273,9343,5012,4331,54,21,33
277,Estados Unidos Mexicanos,27 Tabasco,9 años,45014,22623,22391,40401,20041,20360,4540,2549,1991,73,33,40
278,Estados Unidos Mexicanos,27 Tabasco,10 años,48495,24846,23649,45397,23079,22318,3047,1738,1309,51,29,22
279,Estados Unidos Mexicanos,27 Tabasco,11 años,42450,21380,21070,40608,20351,20257,1800,1007,793,42,22,20
280,Estados Unidos Mexicanos,27 Tabasco,12 años,47554,24433,23121,45837,23506,22331,1678,908,770,39,19,20
281,Estados Unidos Mexicanos,27 Tabasco,13 años,43148,21435,21713,41714,20653,21061,1395,760,635,39,22,17
282,Estados Unidos Mexicanos,27 Tabasco,14 años,44308,21997,22311,42647,21132,21515,1634,853,781,27,12,15
283,Estados Unidos Mexicanos,28 Tamaulipas,Total,477504,242782,234722,425309,214831,210478,50875,27274,23601,1320,677,643
284,Estados Unidos Mexicanos,28 Tamaulipas,6 años,53574,27059,26515,21381,10523,10858,31611,16247,15364,582,289,293
285,Estados Unidos Mexicanos,28 Tamaulipas,7 años,53000,27236,25764,44397,22510,21887,8455,4650,3805,148,76,72
286,Estados Unidos Mexicanos,28 Tamaulipas,8 años,55281,28369,26912,51687,26262,25425,3490,2047,1443,104,60,44
287,Estados Unidos Mexicanos,28 Tamaulipas,9 años,52412,26686,25726,50478,25534,24944,1832,1096,736,102,56,46
288,Estados Unidos Mexicanos,28 Tamaulipas,10 años,54446,27716,26730,52967,26873,26094,1407,803,604,72,40,32
289,Estados Unidos Mexicanos,28 Tamaulipas,11 años,50172,25632,24540,49169,25020,24149,938,570,368,65,42,23
290,Estados Unidos Mexicanos,28 Tamaulipas,12 años,54336,27613,26723,53194,26939,26255,1060,635,425,82,39,43
291,Estados Unidos Mexicanos,28 Tamaulipas,13 años,52073,26266,25807,51013,25666,25347,981,563,418,79,37,42
292,Estados Unidos Mexicanos,28 Tamaulipas,14 años,52210,26205,26005,51023,25504,25519,1101,663,438,86,38,48
293,Estados Unidos Mexicanos,29 Tlaxcala,Total,197269,99796,97473,176845,89142,87703,20143,10497,9646,281,157,124
294,Estados Unidos Mexicanos,29 Tlaxcala,6 años,21314,10849,10465,7888,3950,3938,13372,6871,6501,54,28,26
295,Estados Unidos Mexicanos,29 Tlaxcala,7 años,20499,10482,10017,17240,8795,8445,3225,1670,1555,34,17,17
296,Estados Unidos Mexicanos,29 Tlaxcala,8 años,23062,11781,11281,21859,11116,10743,1168,642,526,35,23,12
297,Estados Unidos Mexicanos,29 Tlaxcala,9 años,21797,10940,10857,21173,10599,10574,583,318,265,41,23,18
298,Estados Unidos Mexicanos,29 Tlaxcala,10 años,23782,12222,11560,23309,11967,11342,446,237,209,27,18,9
299,Estados Unidos Mexicanos,29 Tlaxcala,11 años,20535,10358,10177,20221,10183,10038,296,167,129,18,8,10
300,Estados Unidos Mexicanos,29 Tlaxcala,12 años,23229,11729,11500,22862,11528,11334,341,191,150,26,10,16
301,Estados Unidos Mexicanos,29 Tlaxcala,13 años,21528,10791,10737,21185,10605,10580,315,169,146,28,17,11
302,Estados Unidos Mexicanos,29 Tlaxcala,14 años,21523,10644,10879,21108,10399,10709,397,232,165,18,13,5
303,Estados Unidos Mexicanos,30 Veracruz,Total,1452046,737930,714116,1149341,580951,568390,301014,156127,144887,1691,852,839
304,Estados Unidos Mexicanos,30 Veracruz,6 años,157467,79398,78069,31653,15680,15973,125338,63478,61860,476,240,236
305,Estados Unidos Mexicanos,30 Veracruz,7 años,157433,80464,76969,94590,47475,47115,62621,32874,29747,222,115,107
306,Estados Unidos Mexicanos,30 Veracruz,8 años,169800,86357,83443,133529,67089,66440,36093,19168,16925,178,100,78
307,Estados Unidos Mexicanos,30 Veracruz,9 años,159925,80799,79126,139422,69988,69434,20333,10720,9613,170,91,79
308,Estados Unidos Mexicanos,30 Veracruz,10 años,169315,86855,82460,152885,77855,75030,16283,8925,7358,147,75,72
309,Estados Unidos Mexicanos,30 Veracruz,11 años,150991,77072,73919,140943,71658,69285,9913,5346,4567,135,68,67
310,Estados Unidos Mexicanos,30 Veracruz,12 años,169216,86894,82322,158168,80996,77172,10912,5832,5080,136,66,70
311,Estados Unidos Mexicanos,30 Veracruz,13 años,158675,79489,79186,149116,74815,74301,9445,4628,4817,114,46,68
312,Estados Unidos Mexicanos,30 Veracruz,14 años,159224,80602,78622,149035,75395,73640,10076,5156,4920,113,51,62
313,Estados Unidos Mexicanos,31 Yucatán,Total,327361,165908,161453,268775,135443,133332,58264,30289,27975,322,176,146
314,Estados Unidos Mexicanos,31 Yucatán,6 años,37075,18707,18368,11029,5353,5676,25975,13321,12654,71,33,38
315,Estados Unidos Mexicanos,31 Yucatán,7 años,36607,18689,17918,24492,12221,12271,12063,6442,5621,52,26,26
316,Estados Unidos Mexicanos,31 Yucatán,8 años,37442,18925,18517,30597,15304,15293,6809,3600,3209,36,21,15
317,Estados Unidos Mexicanos,31 Yucatán,9 años,36014,18152,17862,32269,16185,16084,3698,1943,1755,47,24,23
318,Estados Unidos Mexicanos,31 Yucatán,10 años,37680,19345,18335,34843,17805,17038,2810,1524,1286,27,16,11
319,Estados Unidos Mexicanos,31 Yucatán,11 años,34850,17582,17268,33145,16703,16442,1688,869,819,17,10,7
320,Estados Unidos Mexicanos,31 Yucatán,12 años,37586,19485,18101,35730,18494,17236,1827,969,858,29,22,7
321,Estados Unidos Mexicanos,31 Yucatán,13 años,34760,17404,17356,33139,16615,16524,1598,773,825,23,16,7
322,Estados Unidos Mexicanos,31 Yucatán,14 años,35347,17619,17728,33531,16763,16768,1796,848,948,20,8,12
323,Estados Unidos Mexicanos,32 Zacatecas,Total,312065,158448,153617,268781,135450,133331,42591,22663,19928,693,335,358
324,Estados Unidos Mexicanos,32 Zacatecas,6 años,34249,17315,16934,8636,4305,4331,25366,12889,12477,247,121,126
325,Estados Unidos Mexicanos,32 Zacatecas,7 años,33021,16865,16156,24570,12389,12181,8333,4417,3916,118,59,59
326,Estados Unidos Mexicanos,32 Zacatecas,8 años,36420,18711,17709,33066,16775,16291,3257,1896,1361,97,40,57
327,Estados Unidos Mexicanos,32 Zacatecas,9 años,34839,17587,17252,33235,16658,16577,1550,903,647,54,26,28
328,Estados Unidos Mexicanos,32 Zacatecas,10 años,36783,18706,18077,35679,18019,17660,1062,668,394,42,19,23
329,Estados Unidos Mexicanos,32 Zacatecas,11 años,33056,16911,16145,32327,16439,15888,694,452,242,35,20,15
330,Estados Unidos Mexicanos,32 Zacatecas,12 años,36422,18624,17798,35662,18144,17518,721,460,261,39,20,19
331,Estados Unidos Mexicanos,32 Zacatecas,13 años,34112,17196,16916,33335,16726,16609,747,455,292,30,15,15
332,Estados Unidos Mexicanos,32 Zacatecas,14 años,33163,16533,16630,32271,15995,16276,861,523,338,31,15,16
